customer_id,age,gender,annual_income,city,membership_type,purchase_amount,quantity,signup_date,payment_method,rating,notes
100508,43.0,female,80242.98,Bengaluru ,Gold,99.13,1,08-22-2021,Debit Card,1,
100819,41.0,Female,,Delhi ,Silver,113.23,1,16 Jun 2020,Net Banking,4,
100453,61.0,Male,56285.4,Bengaluru ,Gold,248.19,2,28 Sep 2020,Debit Card,4,
100369,,Male,81878.74,nan,Silver,51.27,9,10 Sep 2023,Credit Card,4,
100243,24.0,Male,100566.42, Delhi,Silver,97.97,1,07/01/2021,Credit Card,4,
100930,39.0,male,53791.02,chennai,Gold,76.87,6,01-19-2021,Net Banking,3,
100263,41.0,Male,96656.59,Bengaluru ,Platinum,183.44,7,30 Jan 2023,UPI,3,
100811,36.0,Male,51778.62,Chennai,Gold,110.33,2,07-21-2023,UPI,4,
100319,50.0,nan,33393.21,delhi,Silver,$41.88,2,13/09/2019,UPI,4,
100050,39.0,Male,65293.6,nan,nan,162.85,9,07/10/2020,UPI,2,
100447,51.0,M,52358.28,hyderabad,Silver,112.27,2,08 Apr 2020,Credit Card,5,
100143,23.0,Male,68971.57,Hyderabad,Silver,176.02,5,02-09-2022,Credit Card,3,
100895,34.0,M,39852.35,nan,Silver,64.05,5,02/12/2022,COD,4,
100346,24.0,nan,59234.29,chennai,Gold,177.02,1,06 Aug 2020,Debit Card,5,
100880,38.0,nan,61897.39,Bengaluru,Bronze,82.85,1,05/02/2020,UPI,1,
100134,35.0,male,59406.46,CHENNAI,Silver,43.12,9,31 Jul 2022,Net Banking,2,
100105,27.0,Female,39277.4, Mumbai,Bronze,48.78,1,05-17-2019,Credit Card,5,
100007,40.0,Female,69345.46, Chennai,Bronze,21.97,4,10/03/2022,Credit Card,2,
100601,44.0,female,77798.72,MUMBAI,nan,78.4,,2019-01-10,Debit Card,2,
100497,23.0,MALE,91450.09,nan,Silver,73.19,4,07-19-2020,Credit Card,5,
100703,26.0,Male,,hyderabad,Silver,87.33,2,21 Jun 2019,Net Banking,4,
100473,35.0,female,79793.85,DELHI,Bronze,$95.85,1,17/12/2022,Credit Card,4,
100599,41.0,MALE,74387.21,nan,Silver,129.33,8,16/04/2023,UPI,4,
100503,29.0,Female,76683.38,Bengaluru,Silver,116.5,1,2020-03-13,Credit Card,2,
100434,22.0,F,47681.2,Hyderabad,Silver,160.21,4,23/09/2019,Net Banking,4,
